date,station,particle,replicate,file,phase,batch,raman_gt,raman_conf,gt_source,support_level,withheld,tie_break,B_label,B_r,spec_class,omnic_name,hqi,openspecy_name,openspecy_match_val,ml_name,ml_prob,simple_name,simple_score,confidence,carbonyl_index,openspecy_material_class,openspecy_plastic,openspecy_top3,openspecy_status,ml_status
06.14,S1,2,1,0614S1-2.CSV,phase2,train,unresolved,tentative,withheld,WH,True,False,polyolefin_PE,0.204,silicate,Reduced Fat Bisquick,92.86,starch,0.748120714953999,poly(propylene),0.218461620098029,algae_fucus_serratus,0.715052063197117,tentative,,mineral,not plastic,starch (0.75) | dextrose anhydrous (lot #30k0208) (0.67) | pe (0.67),hit,below_threshold
06.14,S1,5,1,0614S1-5.CSV,phase2,train,unresolved,tentative,withheld,WH,True,True,PVC,0.734,QC_low_contrast,2-(Trifluoromethyl)benzaldehyde chromium tricarbonyl,,pur,0.35890826915276,ethylene-vinyl acetate,0.511333451913139,polytetrafluoroethylene,0.100312952260231,unresolved,,polyurethanes (isocyanates),plastic,pur (0.36) | pur (0.35) | pur (0.34),below_threshold,hit
06.26,S1,6,1,0626S1-6.CSV,phase2,train,unresolved,unresolved,withheld,WH,True,True,polyester_PET,0.212,polyolefin_PP,CASTROL Syntilo RHS,65.74,pe,0.764655656447921,poly(propylene),0.736455366083561,polypropylene,0.574934310794942,confident,0.1672185613883978,poly(ethylene),plastic,pe (0.76) | pe (0.74) | pe (0.74),hit,hit
06.26,S1,8,1,0626S1-8.CSV,phase2,train,unresolved,unresolved,withheld,WH,True,True,polyolefin_PE,0.746,polyolefin_PE,Duct tape (Back side),97.12,pe,0.896810761315741,poly(ethylene),0.954828120737388,polyethylene_low_density,0.982018333681625,tentative,0.2581017845959417,poly(ethylene),plastic,pe (0.90) | pe (0.90) | pp (0.90),hit,hit
07.11,S1,2,1,0711S1-2.CSV,heldout_july,heldout_1,unresolved,unresolved,withheld,WH,True,False,polyolefin_PE,0.061,polyolefin_PE,Duct tape (Back side),86.88,pe,0.823605862711854,poly(ethylene),0.949321857176004,polyethylene_high_density,0.865950473562109,tentative,0.0731385107925786,poly(ethylene),plastic,pe (0.82) | pe (0.82) | eps (0.82),hit,hit
07.12,S1,11,1,0712S1-11.CSV,heldout_july,heldout_1,unresolved,unresolved,withheld,WH,True,True,polyolefin_PE,0.214,polyolefin_PE,Duct tape (Back side),88.24,pe,0.812433351946464,poly(ethylene),0.925726440822083,polyethylene_high_density,0.858810538415305,tentative,0.2301867827444098,poly(ethylene),plastic,pe (0.81) | pe (0.81) | pp (0.81),hit,hit
07.25,S1,1,1,0725S1-1.CSV,heldout_july,heldout_2,unresolved,unresolved,withheld,WH,True,True,polyolefin_PE,0.074,SAN,White Play Sand,83.5,aragonite__r040078-1__infrared__infrared_data_processed__1009,0.70020248278205,mineral,0.698552306927867,poly(phenylene_sulfide),0.484553087876113,tentative,,mineral,not plastic,aragonite__r040078-1__infrared__infrared_data_processed__1009 (0.70) | aragonite (0.70) | rhodochrosite (0.64),hit,hit
07.25,S1,11,1,0725S1-11.CSV,heldout_july,heldout_2,unresolved,tentative,withheld,WH,True,True,polystyrene,0.737,QC_low_contrast,"AMMONIUM-D4 THIOCYANATE, 99 ATOM % D",65.07,naturkautschuk,0.558599526038399,poly(acrylamide/amid)s,0.669787383039737,polyethylene_chlorosulfonated,0.0579727368252538,unresolved,,poly(ethylene),plastic,naturkautschuk (0.56) | kyanite (0.55) | kyanite (0.51),below_threshold,hit
07.25,S1,12,1,0725S1-12.CSV,heldout_july,heldout_2,unresolved,tentative,withheld,WH,True,True,polyolefin_PE,0.762,QC_low_contrast,"SODIUM DICYANAMIDE, 96%",50.47,high-density polyethylene,0.532337987151369,styrene-butadiene,0.433409460284975,acrylonitrile_butadiene,-0.0134702111082075,unresolved,,poly(ethylene),plastic,high-density polyethylene (0.53) | high-density polyethylene (0.51) | naturkautschuk (0.51),below_threshold,hit
07.25,S1,13,1,0725S1-13.CSV,heldout_july,heldout_2,unresolved,unresolved,withheld,WH,True,True,PVC,0.168,silicate,Dry Milk Powder,62.12,pp,0.627713258792931,poly(acrylamide/amid)s,0.463049558126098,coal,0.628266774817985,tentative,,poly(propylene),plastic,pp (0.63) | pp (0.63) | pp (0.62),below_threshold,hit
07.25,S1,14,1,0725S1-14.CSV,heldout_july,heldout_2,unresolved,unresolved,withheld,WH,True,True,polyolefin_PE,0.144,carbonate_calcite,Plotter paper / glossy,86.45,pyromorphite__r050085-1__infrared__infrared_data_processed__345,0.732482454786067,mineral,0.500084076401012,resin_dispersion,0.832335759025922,tentative,,mineral,not plastic,pyromorphite__r050085-1__infrared__infrared_data_processed__345 (0.73) | pyromorphite (0.73) | andalusite__r050561-1__infrared__infrared_data_processed__601 (0.73),hit,hit
07.25,S1,5,1,0725S1-5.CSV,heldout_july,heldout_2,unresolved,unresolved,withheld,WH,True,True,PVC,0.581,carbonate_calcite,ALS-AR100,74.68,pe,0.729711987213303,organic matter,0.489799400317764,styrene_butyl_methacrylate,0.78836074748966,tentative,,poly(ethylene),plastic,pe (0.73) | pe (0.73) | pe (0.73),hit,hit
07.25,S1,6,1,0725S1-6.CSV,heldout_july,heldout_2,unresolved,tentative,withheld,WH,True,True,polystyrene,0.746,mineral_or_unresolved,Polyester (41% soybean oil modified phthalic alkyd),80.23,alkyd.resin,0.770199518764417,polymethacrylates,0.470213601657348,poly(diallyl_isophthalate),0.686939811251235,unresolved,,polyhaloolefins (vinylhalides),plastic,alkyd.resin (0.77) | pet/pest (0.74) | alkyd.resin (0.74),hit,hit
